station_id,qbf,koppen
301212,10.5,9
301214,10.5,9
300044,10.62,27
301213,10.9,9
300155,11.1,25
301139,11.16,19
301215,11.3,9
301167,11.61,27
300998,11.64,26
300560,11.75,26
301009,12.2,27
301056,12.2,26
300596,12.32,25
300039,12.46,26
300457,12.74,14
300466,12.86,14
301161,12.94,27
301103,13.03,4
300205,13.2,25
301148,13.45,27
300477,14.16,25
300114,14.36,26
301028,14.4,27
300518,14.7,25
301196,14.95,7
300520,15.29,14
300449,15.29,25
300276,15.29,14
300448,15.35,25
300604,15.55,26
300027,15.69,27
300664,15.7,25
300206,16.06,25
301177,16.65,26
300246,16.93,25
301151,17.1,27
300496,17.39,14
300005,17.47,26
300108,17.58,26
300915,17.6,27
300581,17.84,25
300143,17.84,26
300109,18.72,26
301085,18.83,6
300979,18.89,14
300049,18.97,7
300610,19.2,26
300452,19.51,25
300175,19.52,14
300125,19.54,26
300220,19.54,25
300667,19.7,25
301001,19.82,7
300311,20.07,14
300199,20.19,25
300061,20.36,26
300618,20.78,26
300975,20.83,14
300198,21.01,25
300948,21.09,14
300447,21.21,25
300497,21.24,14
300387,21.69,26
301086,21.75,6
300204,22.09,26
300265,22.14,25
300149,22.23,25
300601,22.48,26
301014,22.6,27
300121,22.74,26
300658,22.8,25
300340,22.9,14
300430,23.16,25
300422,23.53,26
301033,23.8,26
300299,24.15,14
300103,25,26
300208,25.15,25
300367,25.2,26
301166,25.32,27
300685,25.4,25
300207,25.43,25
301088,25.49,6
300275,25.68,14
300391,25.77,25
300139,25.88,26
300235,25.91,14
300020,25.97,7
301202,26.31,7
301136,26.39,17
301079,26.53,7
301204,26.62,7
300428,27.24,14
301026,27.5,7
300487,27.61,14
301000,27.64,7
300370,27.75,26
300157,27.75,26
300163,28.32,25
300184,28.32,26
300152,28.49,25
300527,28.85,14
300234,29,25
300239,29,25
300238,29.17,25
300337,29.4,14
300336,29.48,14
300236,29.59,25
300294,29.73,14
300317,29.79,14
300371,30.02,26
300647,30.47,26
300480,30.58,25
300167,31.06,25
301169,31.15,27
301002,31.15,7
300130,31.43,25
300159,31.54,25
300616,31.77,26
300031,32,26
300385,32.05,26
300052,32.28,7
300309,32.28,14
300513,32.56,14
300600,32.56,26
300301,32.85,14
300138,33.13,26
301095,33.56,7
300162,33.7,25
301089,33.98,7
300429,33.98,14
300248,33.98,25
300525,34.26,14
300117,34.55,26
300573,34.66,25
300129,34.83,26
301084,35.11,6
300243,36.13,26
301078,36.81,6
301101,36.81,6
300279,37.1,14
301200,37.12,18
300106,37.15,26
300512,37.38,14
301140,37.58,17
300195,37.66,26
300180,37.83,25
300209,37.89,26
301064,38.23,7
300439,38.23,25
301107,38.29,9
300211,38.51,26
300271,39.33,25
301071,39.64,7
300033,39.64,26
301234,40.61,8
300568,40.72,25
300161,40.78,25
300104,41.34,26
300977,42.31,14
300488,42.48,25
301097,42.48,7
301109,42.73,9
300619,43.52,26
300262,44.74,14
300537,45.28,26
300380,46.16,26
300455,46.44,25
300169,46.52,25
301036,46.7,26
300386,47.83,26
300140,48.14,26
300481,48.14,25
300955,48.25,14
300461,48.42,14
300602,48.7,25
300421,48.7,26
300150,48.7,25
300622,48.87,26
301021,49,26
301205,49.02,7
301090,49.21,7
300153,49.64,25
300373,50.69,26
301074,50.97,7
300526,51.54,14
301104,51.75,9
300617,52.39,26
301181,52.56,7
300985,52.56,14
300273,52.87,25
300116,53.21,26
300483,54.08517699,25
300474,54.09,25
301128,54.37,18
300154,54.93,25
300396,55.5,25
300224,55.53,25
300224,55.53,25
300456,57.77,25
301122,57.79,18
300394,58.9,26
300405,59.18,25
300374,59.27,26
300179,59.44,25
301102,59.47,7
301077,59.47,7
301076,59.47,7
300413,59.47,25
300270,59.75,25
300135,60.03,25
300522,60.71,14
300444,60.88,25
301027,60.9,7
300289,62.01,25
300331,63.32,14
300293,63.71,25
300506,64.08,14
300160,66.26,25
300418,66.54,26
300983,67.28,14
300291,67.39,14
301206,68.22,7
300608,68.53,26
300515,68.53,14
300510,68.89,26
301230,69.29,9
300214,70.51,25
300450,70.51,25
300115,70.79,26
301190,70.79,18
301224,70.8,9
301038,72.2,26
300984,72.75,14
301098,72.94,7
300419,74.19,25
300193,74.36,26
300269,75.04,25
301193,75.89,19
300329,75.92,14
300472,76.46,25
301138,76.65,18
300241,76.85,26
300971,76.99,14
300253,77.19,25
300509,78.24,14
300127,78.44,26
300249,78.44,25
300203,79.57,26
300376,79.85,25
300368,79.85,26
300251,80.42,25
301191,81.5,18
300290,81.55,25
300973,81.61,14
300997,82.12,7
300395,82.69,25
300247,83.82,26
301082,84.55,6
300494,84.95,14
300910,85.2,27
301216,87.07,9
300612,87.78,26
300158,89.11,25
300532,90.9,14
300245,91.18,25
300407,91.75,25
301194,92.57,26
300962,93.53,14
301134,94.63,18
301223,95.23,9
300945,96.9,14
300511,97.69,15
300213,97.72,25
300989,98.12,6
300517,98.88,26
301080,99.59,7
301129,99.68,18
301226,99.73,9
300431,101.12,25
300378,101.94,26
300330,104.4,14
300191,104.77,26
300264,104.77,25
300459,107.6,14
301092,109.3,6
301207,109.59,7
300420,112.13,26
301039,114,7
300988,114.09,6
300137,114.68,26
300202,117.43,26
300341,117.5,14
300296,117.51,14
300148,118.36,26
300501,119.21,14
301099,119.64,7
300941,120.29,7
300426,120.35,25
300490,122.9,14
300409,127.99,25
301117,128.19,26
300982,133.09,14
300972,133.54,14
300210,133.94,26
300980,134.79,14
301137,134.87,18
300963,135.5,14
300189,136.77,26
301091,141.58,6
300605,142.43,26
301162,145.21,7
300502,146.68,14
300110,155.46,26
301182,155.69,7
300124,159.71,25
300974,165.48,14
301035,167,26
300460,169.67,14
300614,175.56,26
301210,177.18,8
300113,178.96,26
300607,182.36,26
300141,188.02,26
300530,189.44,14
300310,197.65,14
300381,210.39,26
301118,215.38,15
300500,215.77,14
301131,227.58,5
300120,236.16,26
301227,241.97,9
301037,255,7
301228,261.48,9
301229,280.99,9
300404,291.66,25
300960,296.48,14
300499,304.41,14
301126,327.63,7
301119,330.46,15
301113,361.61,26
301125,362.46,7
301201,365.57,18
300961,391.34,14
301233,419.94,8
301114,424.75,18
301115,425.89,9
301198,515.08,18
301197,534.06,18
301197,534.06,18
301112,584.18,9
300964,1182.23,14
