Type,,R²,MPE,MAPE,MdPE,MdAPE,E,RMSE,nRMSE,Count
Overall,Train,0.6480091981735632,34.01058876382064,48.74151131059526,12.773978176359474,27.043381908060148,0.5617799465608415,64.02116430957946,0.853205356519197,280
Overall,Cross-validation,0.5720696819578021,44.71733405161118,62.96925960761653,13.522304751509097,32.6337535070176,0.4513649159368655,66.13202843219304,1.0899514113437654,/
Overall,Test,0.6935579167076749,44.0333250277692,65.64426103362709,24.50154933614983,38.95253313027046,0.3854499556951768,47.609833349124806,1.1309800127346126,70
Cross-validation,A (tropical),-,-,-,-,-,-,-,-,0.0
Cross-validation,B (arid),-2.0998546508681897,57.12842475810091,73.0717110728203,35.037319398884016,47.83277198369058,-0.2183574134512672,52.54838025757988,1.0276766241622082,8.0
Cross-validation,C (temperate),0.49518978818670095,55.11810556568041,79.48964189241617,10.8510991933189,34.76260621310636,0.40890568436251346,102.93203583987106,1.4427936470448575,15.0
Cross-validation,D (cold),0.6934491576411312,37.23303916045291,53.92249175691163,10.228505470167443,29.294693512602493,0.47262023184739804,35.16939804419307,0.8692250796248071,33.0
Test,B (arid),0.8088304691208996,23.665514899382355,38.11936016763717,18.684086987746305,34.75436732029502,0.5576433655198061,38.306394224997476,0.46877696663439705,10
Test,C (temperate),0.1396829240016355,62.95794230495451,103.47098432818085,25.821760531754034,52.21562849266439,0.08765124516626543,62.301714920575215,1.7634667235461465,19
Test,D (cold),0.8004380155858518,40.23113900380207,54.82819435224605,23.986342083951413,36.289588439166806,0.48447141841860064,41.39234283587393,0.8301352223650866,41
Test,Q500-1000,/,-37.2868192268106,37.2868192268106,-37.2868192268106,37.2868192268106,/,199.1339867627047,0.372868192268106,1
Test,Q100-500,/,-26.46490745684766,36.035552933601394,-31.691898836030376,31.691898836030376,/,75.14821573960745,0.38694414732165855,11
Test,Q<=100,/,58.80575091717207,71.7486270837495,37.29379284016915,47.36385568589556,/,31.31998202808064,1.2300272708705613,58
